id,code,master_code,name,category
nhsa_jbzd_34_7302,"34.7302",True,"胸壁瘘管闭合术","手术"
nhsa_jbzd_34_7303,"34.7303",True,"支气管镜下支气管胸膜瘘修补术","手术"
nhsa_jbzd_34_7400,"34.7400",True,"胸变形修补术","手术"
nhsa_jbzd_34_7400x001,"34.7400x001",True,"鸡胸矫正术","手术"
nhsa_jbzd_34_7400x005,"34.7400x005",True,"胸廓畸形矫正术","手术"
nhsa_jbzd_34_7400x007,"34.7400x007",True,"鸡胸反NUSS手术","手术"
nhsa_jbzd_34_7400x008,"34.7400x008",True,"漏斗胸NUSS手术","手术"
nhsa_jbzd_34_7400x009,"34.7400x009",True,"胸腔镜下鸡胸反NUSS手术","手术"
nhsa_jbzd_34_7400x010,"34.7400x010",True,"胸腔镜下漏斗胸NUSS手术","手术"
nhsa_jbzd_34_7400x011,"34.7400x011",True,"漏斗胸Wang手术","手术"
nhsa_jbzd_34_7401,"34.7401",True,"漏斗胸畸形矫正术","手术"
nhsa_jbzd_34_7402,"34.7402",True,"胸腔镜下漏斗胸矫正术","手术"
nhsa_jbzd_34_7403,"34.7403",True,"胸腔镜下胸廓畸形矫正术","手术"
nhsa_jbzd_34_7900,"34.7900",True,"胸壁其他修补术","手术"
nhsa_jbzd_34_7900x001,"34.7900x001",True,"胸壁修补术","手术"
nhsa_jbzd_34_7900x002,"34.7900x002",True,"关胸术","手术"
nhsa_jbzd_34_7900x003,"34.7900x003",True,"胸壁缺损修补术(人工材料)","手术"
nhsa_jbzd_34_7900x004,"34.7900x004",True,"胸壁缺损修补术(自体材料)","手术"
nhsa_jbzd_34_8100,"34.8100",True,"横膈病损或横膈组织切除术","手术"
nhsa_jbzd_34_8100x001,"34.8100x001",True,"胸腔镜下横膈病损切除术","手术"
nhsa_jbzd_34_8100x002,"34.8100x002",True,"腹腔镜下横膈病损切除术","手术"
nhsa_jbzd_34_8101,"34.8101",True,"横膈病损切除术","手术"
nhsa_jbzd_34_8102,"34.8102",True,"横膈部分切除术","手术"
nhsa_jbzd_34_8200,"34.8200",True,"横膈裂伤缝合术","手术"
nhsa_jbzd_34_8200x002,"34.8200x002",True,"膈肌缝合术","手术"
nhsa_jbzd_34_8300,"34.8300",True,"横膈瘘闭合术","手术"
nhsa_jbzd_34_8301,"34.8301",True,"胸腹瘘管切除术","手术"
nhsa_jbzd_34_8302,"34.8302",True,"胸胃瘘管切除术","手术"
nhsa_jbzd_34_8303,"34.8303",True,"胸肠瘘管切除术","手术"
nhsa_jbzd_34_8400,"34.8400",True,"横膈其他修补术","手术"
nhsa_jbzd_34_8400x003,"34.8400x003",True,"膈肌修补术","手术"
nhsa_jbzd_34_8500,"34.8500",True,"横膈起搏器置入","手术"
nhsa_jbzd_34_8900,"34.8900",True,"横膈其他手术","手术"
nhsa_jbzd_34_8900x002,"34.8900x002",True,"膈肌脓肿引流术","手术"
nhsa_jbzd_34_8900x003,"34.8900x003",True,"膈肌切开术","手术"
nhsa_jbzd_34_8900x004,"34.8900x004",True,"膈上升术","手术"
nhsa_jbzd_34_9100,"34.9100",True,"胸腔穿刺术","治疗性操作"
nhsa_jbzd_34_9100x001,"34.9100x001",True,"经皮胸膜病损穿刺定位术","治疗性操作"
nhsa_jbzd_34_9101,"34.9101",True,"胸腔穿刺抽液术","治疗性操作"
nhsa_jbzd_34_9102,"34.9102",True,"胸腔穿刺抽气术","治疗性操作"
nhsa_jbzd_34_9103,"34.9103",True,"超声引导下胸腔穿刺术","治疗性操作"
nhsa_jbzd_34_9104,"34.9104",True,"CT引导下胸腔穿刺术","治疗性操作"
nhsa_jbzd_34_9200,"34.9200",True,"胸腔内注射","治疗性操作"
nhsa_jbzd_34_9201,"34.9201",True,"化学胸膜固定术","治疗性操作"
nhsa_jbzd_34_9202,"34.9202",True,"胸膜腔药物注射治疗","治疗性操作"
nhsa_jbzd_34_9203,"34.9203",True,"胸腔镜下化学胸膜固定术","手术"
nhsa_jbzd_34_9300,"34.9300",True,"胸膜修补术","手术"
nhsa_jbzd_34_9301,"34.9301",True,"带蒂大网膜胸腔移植术","手术"
nhsa_jbzd_34_9302,"34.9302",True,"胸腔镜下胸膜修补术","手术"
nhsa_jbzd_34_9900,"34.9900",True,"胸其他手术","手术"
nhsa_jbzd_34_9901,"34.9901",True,"胸腔粘连松解术","手术"
nhsa_jbzd_34_9902,"34.9902",True,"胸膜固定术","手术"
nhsa_jbzd_34_9903,"34.9903",True,"纵隔松解术","手术"
nhsa_jbzd_34_9904,"34.9904",True,"胸腔镜下胸腔粘连松解术","手术"
nhsa_jbzd_34_9905,"34.9905",True,"胸腔镜下胸膜固定术","手术"
nhsa_jbzd_35_0000,"35.0000",True,"闭合性心脏瓣膜切开术","手术"
nhsa_jbzd_35_0100,"35.0100",True,"闭合性心脏瓣膜切开术，主动脉瓣","手术"
nhsa_jbzd_35_0100x002,"35.0100x002",True,"经皮主动脉瓣探查术","手术"
nhsa_jbzd_35_0101,"35.0101",True,"主动脉瓣闭式扩张术","手术"
nhsa_jbzd_35_0200,"35.0200",True,"闭合性心脏瓣膜切开术，二尖瓣","手术"
nhsa_jbzd_35_0200x003,"35.0200x003",True,"经皮二尖瓣探查术","手术"
nhsa_jbzd_35_0201,"35.0201",True,"二尖瓣闭式扩张术","手术"
nhsa_jbzd_35_0300,"35.0300",True,"闭合性心脏瓣膜切开术，肺动脉瓣","手术"
nhsa_jbzd_35_0300x002,"35.0300x002",True,"经皮肺动脉瓣探查术","手术"
nhsa_jbzd_35_0301,"35.0301",True,"肺动脉瓣闭式扩张术","手术"
nhsa_jbzd_35_0400,"35.0400",True,"闭合性心脏瓣膜切开术，三尖瓣","手术"
nhsa_jbzd_35_0400x001,"35.0400x001",True,"经皮三尖瓣探查术","手术"
nhsa_jbzd_35_0401,"35.0401",True,"三尖瓣闭式扩张术","手术"
nhsa_jbzd_35_0500,"35.0500",True,"血管内主动脉瓣置换","手术"
nhsa_jbzd_35_0501,"35.0501",True,"经导管主动脉瓣植入术","手术"
nhsa_jbzd_35_0502,"35.0502",True,"经导管主动脉瓣置换术","手术"
nhsa_jbzd_35_0600,"35.0600",True,"经心尖主动脉瓣置换","手术"
nhsa_jbzd_35_0600x001,"35.0600x001",True,"经胸主动脉瓣支架置入术","手术"
nhsa_jbzd_35_0600x002,"35.0600x002",True,"经心尖主动脉瓣生物瓣膜置换术","手术"
nhsa_jbzd_35_0700,"35.0700",True,"血管内肺动脉瓣置换","手术"
nhsa_jbzd_35_0701,"35.0701",True,"经导管肺动脉瓣植入术","手术"
nhsa_jbzd_35_0800,"35.0800",True,"经心尖肺动脉瓣置换","手术"
nhsa_jbzd_35_0800x001,"35.0800x001",True,"经胸肺动脉瓣支架置入术","手术"
nhsa_jbzd_35_0800x002,"35.0800x002",True,"经心尖肺动脉瓣生物瓣膜植入术","手术"
nhsa_jbzd_35_0801,"35.0801",True,"胸腔镜下肺动脉瓣生物瓣膜置换术","手术"
nhsa_jbzd_35_0802,"35.0802",True,"胸腔镜下肺动脉瓣机械瓣膜置换术","手术"
nhsa_jbzd_35_0900,"35.0900",True,"心脏瓣膜的血管内置换","手术"
nhsa_jbzd_35_1000,"35.1000",True,"无置换的开放性心脏瓣膜成形术","手术"
nhsa_jbzd_35_1100,"35.1100",True,"无置换的开放性主动脉瓣成形术","手术"
nhsa_jbzd_35_1100x003,"35.1100x003",True,"主动脉瓣修补术","手术"
nhsa_jbzd_35_1100x004,"35.1100x004",True,"主动脉瓣切开探查术","手术"
nhsa_jbzd_35_1100x005,"35.1100x005",True,"胸腔镜下主动脉瓣成形术","手术"
nhsa_jbzd_35_1101,"35.1101",True,"主动脉瓣成形术","手术"
nhsa_jbzd_35_1200,"35.1200",True,"无置换的开放性二尖瓣成形术","手术"
nhsa_jbzd_35_1200x001,"35.1200x001",True,"二尖瓣修补术","手术"
nhsa_jbzd_35_1200x002,"35.1200x002",True,"二尖瓣切开扩张术","手术"
nhsa_jbzd_35_1200x003,"35.1200x003",True,"二尖瓣切开探查术","手术"
nhsa_jbzd_35_1200x004,"35.1200x004",True,"经心尖二尖瓣人工腱索置入修补术","手术"
nhsa_jbzd_35_1201,"35.1201",True,"二尖瓣成形术","手术"
nhsa_jbzd_35_1202,"35.1202",True,"胸腔镜下二尖瓣成形术","手术"
nhsa_jbzd_35_1300,"35.1300",True,"无置换的开放性肺动脉瓣成形术","手术"
nhsa_jbzd_35_1300x002,"35.1300x002",True,"肺动脉瓣切开扩张术","手术"
nhsa_jbzd_35_1300x004,"35.1300x004",True,"肺动脉瓣修补术","手术"
nhsa_jbzd_35_1300x005,"35.1300x005",True,"胸腔镜下肺动脉瓣成形术","手术"
nhsa_jbzd_35_1301,"35.1301",True,"肺动脉瓣成形术","手术"
nhsa_jbzd_35_1400,"35.1400",True,"无置换的开放性三尖瓣成形术","手术"
nhsa_jbzd_35_1400x001,"35.1400x001",True,"三尖瓣修补术","手术"
nhsa_jbzd_35_1400x002,"35.1400x002",True,"三尖瓣下移矫治术[Ebstein畸形]","手术"
nhsa_jbzd_35_1400x003,"35.1400x003",True,"三尖瓣切开扩张术","手术"
nhsa_jbzd_35_1400x006,"35.1400x006",True,"三尖瓣环缩术","手术"
nhsa_jbzd_35_1401,"35.1401",True,"三尖瓣成形术","手术"
