id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01021701902002,C01021701902002,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,合金,可连接碎石器/普,乙类,2320.95,
gz_nhsa_consumables_C01021701902003,C01021701902003,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,合金,不通可连碎石器/可过导丝,乙类,1571.43,
gz_nhsa_consumables_C01021701902004,C01021701902004,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,合金,不可连碎石器/普,乙类,1697.55,
gz_nhsa_consumables_C01022002300001,C01022002300001,非血管介入治疗类材料,消化介入材料,静脉曲张/组织套扎器,套扎器,不区分,-单环,乙类,736.86,
gz_nhsa_consumables_C01022002300003,C01022002300003,非血管介入治疗类材料,消化介入材料,静脉曲张/组织套扎器,套扎器,不区分,多环,乙类,2074.07,
gz_nhsa_consumables_C01022102300000,C01022102300000,非血管介入治疗类材料,消化介入材料,痔套扎器,套扎器,不区分,常规,乙类,2579.06,
gz_nhsa_consumables_C01022201100001,C01022201100001,非血管介入治疗类材料,消化介入材料,圈套器（息肉勒除器）,圈套器,不区分,软丝圈套器/不可旋转/通电,乙类,348.81,
gz_nhsa_consumables_C01022201100003,C01022201100003,非血管介入治疗类材料,消化介入材料,圈套器（息肉勒除器）,圈套器,不区分,软丝圈套器/可旋转/通电,乙类,308.14,
gz_nhsa_consumables_C01022201100005,C01022201100005,非血管介入治疗类材料,消化介入材料,圈套器（息肉勒除器）,圈套器,不区分,硬丝圈套器/不可旋转/通电,乙类,331.08,
gz_nhsa_consumables_C01022201100007,C01022201100007,非血管介入治疗类材料,消化介入材料,圈套器（息肉勒除器）,圈套器,不区分,硬丝圈套器/可旋转/通电,乙类,249.94,
gz_nhsa_consumables_C01022302400001,C01022302400001,非血管介入治疗类材料,消化介入材料,消化道造瘘管,造瘘管,不区分,胃造瘘/单件,乙类,3119.00,
gz_nhsa_consumables_C01022302400002,C01022302400002,非血管介入治疗类材料,消化介入材料,消化道造瘘管,造瘘管,不区分,胃造瘘/套装,乙类,2752.67,
gz_nhsa_consumables_C01022302400003,C01022302400003,非血管介入治疗类材料,消化介入材料,消化道造瘘管,造瘘管,不区分,空肠造瘘/单件,乙类,25.00,
gz_nhsa_consumables_C01022302400004,C01022302400004,非血管介入治疗类材料,消化介入材料,消化道造瘘管,造瘘管,不区分,空肠造瘘/套装,乙类,500.00,
gz_nhsa_consumables_C01022502601001,C01022502601001,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,不锈钢,组织针/硬管鞘,乙类,3252.76,
gz_nhsa_consumables_C01022502601002,C01022502601002,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,不锈钢,组织针/弹簧鞘,乙类,34.80,
gz_nhsa_consumables_C01022502601003,C01022502601003,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,不锈钢,细胞针/硬管鞘,乙类,3800.00,
gz_nhsa_consumables_C01022502601004,C01022502601004,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,不锈钢,细胞针/弹簧鞘,乙类,3800.00,
gz_nhsa_consumables_C01022502602001,C01022502602001,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,合金,组织针/硬管鞘,乙类,3906.98,
gz_nhsa_consumables_C01022502602002,C01022502602002,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,合金,组织针/弹簧鞘,乙类,5140.00,
gz_nhsa_consumables_C01022502602003,C01022502602003,非血管介入治疗类材料,消化介入材料,消化道超声穿刺针,穿刺器,合金,细胞针/硬管鞘,乙类,1100.00,
gz_nhsa_consumables_C01022600700001,C01022600700001,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,带针/有涂层/成,乙类,52.29,
gz_nhsa_consumables_C01022600700002,C01022600700002,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,带针/有涂层/小,乙类,21.66,
gz_nhsa_consumables_C01022600700003,C01022600700003,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,儿带针/无涂层/成,乙类,49.84,
gz_nhsa_consumables_C01022600700004,C01022600700004,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,人带针/无涂层/小,乙类,1000.00,
gz_nhsa_consumables_C01022600700005,C01022600700005,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,不儿带针/有涂层/成,乙类,49.99,
gz_nhsa_consumables_C01022600700006,C01022600700006,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,不人带针/有涂层/小,乙类,44.12,
gz_nhsa_consumables_C01022600700007,C01022600700007,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,不儿带针/无涂层/成,乙类,56.53,
gz_nhsa_consumables_C01022600700008,C01022600700008,非血管介入治疗类材料,消化介入材料,活检钳,活检材料,不区分,不人带针/无涂层/小,乙类,56.81,
gz_nhsa_consumables_C01022700700000,C01022700700000,非血管介入治疗类材料,消化介入材料,热活检钳,活检材料,不区分,-常规,乙类,514.86,
gz_nhsa_consumables_C01022800800001,C01022800800001,非血管介入治疗类材料,消化介入材料,消化介入异物钳,异物钳,不区分,网篮,乙类,220.00,
